entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.corridoio_temperatura_2,17.951732755922222,2026-01-08T10:00:00.000Z
sensor.corridoio_temperatura_2,17.91415314908889,2026-01-08T11:00:00.000Z
sensor.corridoio_temperatura_2,17.886286897691665,2026-01-08T12:00:00.000Z
sensor.corridoio_temperatura_2,17.87770252626389,2026-01-08T13:00:00.000Z
sensor.corridoio_temperatura_2,17.952392546605555,2026-01-08T14:00:00.000Z
sensor.corridoio_temperatura_2,18.006114934897223,2026-01-08T15:00:00.000Z
sensor.corridoio_temperatura_2,18.042228787724998,2026-01-08T16:00:00.000Z
sensor.corridoio_temperatura_2,18.117236464138887,2026-01-08T17:00:00.000Z
sensor.corridoio_temperatura_2,18.13665083550833,2026-01-08T18:00:00.000Z
sensor.corridoio_temperatura_2,18.190142617305558,2026-01-08T19:00:00.000Z
sensor.corridoio_temperatura_2,18.50292164735,2026-01-08T20:00:00.000Z
sensor.corridoio_temperatura_2,18.82880889175278,2026-01-08T21:00:00.000Z
sensor.corridoio_temperatura_2,19.013204523377777,2026-01-08T22:00:00.000Z
sensor.corridoio_temperatura_2,18.85144040078889,2026-01-08T23:00:00.000Z
sensor.corridoio_temperatura_2,18.670176195405556,2026-01-09T00:00:00.000Z
sensor.corridoio_temperatura_2,18.516329738213887,2026-01-09T01:00:00.000Z
sensor.corridoio_temperatura_2,18.377444433641667,2026-01-09T02:00:00.000Z
sensor.corridoio_temperatura_2,18.267206366022222,2026-01-09T03:00:00.000Z
sensor.corridoio_temperatura_2,18.169554886733334,2026-01-09T04:00:00.000Z
sensor.corridoio_temperatura_2,18.049244309002777,2026-01-09T05:00:00.000Z
sensor.corridoio_temperatura_2,18.092601882730555,2026-01-09T06:00:00.000Z
sensor.corridoio_temperatura_2,18.20280771125,2026-01-09T07:00:00.000Z
sensor.corridoio_temperatura_2,18.185660576344443,2026-01-09T08:00:00.000Z
sensor.corridoio_temperatura_2,18.14477200427778,2026-01-09T09:00:00.000Z
sensor.corridoio_temperatura_2,18.11086825165278,2026-01-09T10:00:00.000Z
sensor.corridoio_temperatura_2,18.054532920752777,2026-01-09T11:00:00.000Z
sensor.corridoio_temperatura_2,18.011092147902776,2026-01-09T12:00:00.000Z
sensor.corridoio_temperatura_2,17.963486722463887,2026-01-09T13:00:00.000Z
sensor.corridoio_temperatura_2,17.963919015658334,2026-01-09T14:00:00.000Z
sensor.corridoio_temperatura_2,18.03755803,2026-01-09T15:00:00.000Z
sensor.corridoio_temperatura_2,18.065720674375,2026-01-09T16:00:00.000Z
sensor.corridoio_temperatura_2,18.06222724831389,2026-01-09T17:00:00.000Z
sensor.corridoio_temperatura_2,18.11286634601111,2026-01-09T18:00:00.000Z
sensor.corridoio_temperatura_2,18.157630351708335,2026-01-09T19:00:00.000Z
sensor.corridoio_temperatura_2,18.34333935355,2026-01-09T20:00:00.000Z
sensor.corridoio_temperatura_2,18.680790572608334,2026-01-09T21:00:00.000Z
sensor.corridoio_temperatura_2,18.884806102088888,2026-01-09T22:00:00.000Z
sensor.corridoio_temperatura_2,18.656798572977777,2026-01-09T23:00:00.000Z
sensor.corridoio_temperatura_2,18.42677716575,2026-01-10T00:00:00.000Z
sensor.corridoio_temperatura_2,18.27563544344167,2026-01-10T01:00:00.000Z
sensor.corridoio_temperatura_2,18.1336806914,2026-01-10T02:00:00.000Z
sensor.corridoio_temperatura_2,17.99643173750278,2026-01-10T03:00:00.000Z
sensor.corridoio_temperatura_2,17.871914956772223,2026-01-10T04:00:00.000Z
sensor.corridoio_temperatura_2,17.762099903522223,2026-01-10T05:00:00.000Z
sensor.corridoio_temperatura_2,17.655278915844445,2026-01-10T06:00:00.000Z
sensor.corridoio_temperatura_2,17.541692434933335,2026-01-10T07:00:00.000Z
sensor.corridoio_temperatura_2,17.51188588782222,2026-01-10T08:00:00.000Z
sensor.corridoio_temperatura_2,17.66755424129722,2026-01-10T09:00:00.000Z
sensor.corridoio_temperatura_2,17.986598441133335,2026-01-10T10:00:00.000Z
sensor.corridoio_temperatura_2,18.357636790555556,2026-01-10T11:00:00.000Z
sensor.corridoio_temperatura_2,18.69425166031389,2026-01-10T12:00:00.000Z
sensor.corridoio_temperatura_2,18.783027707616668,2026-01-10T13:00:00.000Z
sensor.corridoio_temperatura_2,18.97076805809722,2026-01-10T14:00:00.000Z
sensor.corridoio_temperatura_2,19.18015946467778,2026-01-10T15:00:00.000Z
sensor.corridoio_temperatura_2,19.16526156735,2026-01-10T16:00:00.000Z
sensor.corridoio_temperatura_2,19.24522860467222,2026-01-10T17:00:00.000Z
sensor.corridoio_temperatura_2,19.215830371766668,2026-01-10T18:00:00.000Z
sensor.corridoio_temperatura_2,19.187025037630555,2026-01-10T19:00:00.000Z
sensor.corridoio_temperatura_2,19.276145782191666,2026-01-10T20:00:00.000Z
sensor.corridoio_temperatura_2,19.181932293522223,2026-01-10T21:00:00.000Z
sensor.corridoio_temperatura_2,19.098220884802778,2026-01-10T22:00:00.000Z
sensor.corridoio_temperatura_2,18.999292039725002,2026-01-10T23:00:00.000Z
sensor.corridoio_temperatura_2,18.87502635198889,2026-01-11T00:00:00.000Z
sensor.corridoio_temperatura_2,18.745906048266665,2026-01-11T01:00:00.000Z
sensor.corridoio_temperatura_2,18.62030247363889,2026-01-11T02:00:00.000Z
sensor.corridoio_temperatura_2,18.494032099791667,2026-01-11T03:00:00.000Z
sensor.corridoio_temperatura_2,18.370538337750002,2026-01-11T04:00:00.000Z
sensor.corridoio_temperatura_2,18.262240367408335,2026-01-11T05:00:00.000Z
sensor.corridoio_temperatura_2,18.163966013944442,2026-01-11T06:00:00.000Z
sensor.corridoio_temperatura_2,18.084876450666666,2026-01-11T07:00:00.000Z
sensor.corridoio_temperatura_2,18.046644381969443,2026-01-11T08:00:00.000Z
sensor.corridoio_temperatura_2,18.164929936033335,2026-01-11T09:00:00.000Z
sensor.corridoio_temperatura_2,18.483717962875,2026-01-11T10:00:00.000Z
sensor.corridoio_temperatura_2,18.916113778011113,2026-01-11T11:00:00.000Z
sensor.corridoio_temperatura_2,19.285100584480556,2026-01-11T12:00:00.000Z
sensor.corridoio_temperatura_2,19.65986905915,2026-01-11T13:00:00.000Z
sensor.corridoio_temperatura_2,20.033519973394444,2026-01-11T14:00:00.000Z
sensor.corridoio_temperatura_2,20.2803117851,2026-01-11T15:00:00.000Z
sensor.corridoio_temperatura_2,20.40903758371111,2026-01-11T16:00:00.000Z
sensor.corridoio_temperatura_2,20.566598572738886,2026-01-11T17:00:00.000Z
sensor.corridoio_temperatura_2,20.596327799319443,2026-01-11T18:00:00.000Z
sensor.corridoio_temperatura_2,20.38775946857778,2026-01-11T19:00:00.000Z
sensor.corridoio_temperatura_2,20.092437316816667,2026-01-11T20:00:00.000Z
sensor.corridoio_temperatura_2,19.848187372055555,2026-01-11T21:00:00.000Z
sensor.corridoio_temperatura_2,19.7317219294,2026-01-11T22:00:00.000Z
sensor.corridoio_temperatura_2,19.60692209485,2026-01-11T23:00:00.000Z
sensor.corridoio_temperatura_2,19.41978684220278,2026-01-12T00:00:00.000Z
sensor.corridoio_temperatura_2,19.270783459175,2026-01-12T01:00:00.000Z
sensor.corridoio_temperatura_2,19.14901949975,2026-01-12T02:00:00.000Z
sensor.corridoio_temperatura_2,19.017944807380555,2026-01-12T03:00:00.000Z
sensor.corridoio_temperatura_2,18.877280159116665,2026-01-12T04:00:00.000Z
sensor.corridoio_temperatura_2,18.749116335508333,2026-01-12T05:00:00.000Z
sensor.corridoio_temperatura_2,18.780873772130555,2026-01-12T06:00:00.000Z
sensor.corridoio_temperatura_2,18.857716218383334,2026-01-12T07:00:00.000Z
sensor.corridoio_temperatura_2,18.77596544689722,2026-01-12T08:00:00.000Z
sensor.corridoio_temperatura_2,18.747516395730553,2026-01-12T09:00:00.000Z
sensor.corridoio_temperatura_2,18.700489241383334,2026-01-12T10:00:00.000Z
