entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.camera_matrimoniale_temperatura,unavailable,2026-08-01T08:24:38.485Z
sensor.camera_matrimoniale_temperatura_2,26.57252867480278,2026-01-06T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.129112622911112,2026-01-06T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.989770412627777,2026-01-06T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.872579309911114,2026-01-06T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.3617000524,2026-01-06T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.316427255205554,2026-01-06T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.601812752058333,2026-01-06T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.781098676405552,2026-01-06T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.22196654247222,2026-01-06T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.874602434755555,2026-01-06T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.178773527183335,2026-01-06T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.04517442745278,2026-01-06T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.30668249120278,2026-01-06T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.266052252086112,2026-01-06T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.86471159078889,2026-01-06T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.909161507197222,2026-01-06T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.448131980466666,2026-01-06T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.63006406856111,2026-01-07T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.09336307121111,2026-01-07T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.896948891525,2026-01-07T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.264222195277778,2026-01-07T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.644093254144444,2026-01-07T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.04403616172222,2026-01-07T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.451224188075003,2026-01-07T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.854812899358333,2026-01-07T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.426803098025,2026-01-07T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.561861675927776,2026-01-07T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.73373956651389,2026-01-07T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.058294690258336,2026-01-07T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.18740440671111,2026-01-07T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.438216044041667,2026-01-07T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.08226885433611,2026-01-07T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.190980358866668,2026-01-07T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.790699038386112,2026-01-07T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.843648087655556,2026-01-07T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.969171160944445,2026-01-07T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.165111430058335,2026-01-07T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.150796161444447,2026-01-07T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.413263659700004,2026-01-07T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.42794269003889,2026-01-07T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.994731467877777,2026-01-07T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.631679730008333,2026-01-08T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.882967849952777,2026-01-08T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.653960197816666,2026-01-08T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.05295533553611,2026-01-08T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.399144044658332,2026-01-08T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.876555648711108,2026-01-08T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.078154725677777,2026-01-08T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.20474760423889,2026-01-08T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.29988204286389,2026-01-08T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.917843986716665,2026-01-08T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.38833512283611,2026-01-08T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.215607857922222,2026-01-08T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.608796013230556,2026-01-08T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.00974303132222,2026-01-08T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.654783680655555,2026-01-08T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.960069046661108,2026-01-08T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.965418747405554,2026-01-08T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.07980930203611,2026-01-08T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.35318941579722,2026-01-08T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.637806976536112,2026-01-08T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.92209995239722,2026-01-08T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.045879292061112,2026-01-08T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.916321375269444,2026-01-08T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.483679175075,2026-01-08T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.56535486947778,2026-01-09T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.0086522851,2026-01-09T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.573004980561112,2026-01-09T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.08878678207778,2026-01-09T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.858084746247222,2026-01-09T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.200225221230557,2026-01-09T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.786969760041668,2026-01-09T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.66778936802778,2026-01-09T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.45759578754722,2026-01-09T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.640895282836112,2026-01-09T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.092265658083335,2026-01-09T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.8219115668,2026-01-09T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.679496911624998,2026-01-09T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.69469605958889,2026-01-09T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.074364938475,2026-01-09T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.23164093482778,2026-01-09T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.554807652719443,2026-01-09T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.24177914544722,2026-01-09T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.29948161502222,2026-01-09T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.39587651381389,2026-01-09T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.954406165788885,2026-01-09T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.752054171561113,2026-01-09T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.26490104195278,2026-01-09T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.892062446158334,2026-01-09T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.12746096508889,2026-01-10T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.58402404691389,2026-01-10T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.48474652352778,2026-01-10T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.13091769102778,2026-01-10T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.57374962175,2026-01-10T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.95997149306389,2026-01-10T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.705902673397222,2026-01-10T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.824119089683332,2026-01-10T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.57359887320278,2026-01-10T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.111370955491665,2026-01-10T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.12035174078611,2026-01-10T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.482256066138888,2026-01-10T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.6090293842,2026-01-10T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.248565200272225,2026-01-10T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.834625932341666,2026-01-10T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.08895841805278,2026-01-10T15:00:00.000Z
